ruleName,officialCategory,deprecated,baselineIncluded,currentMappingStatus,governanceAction,note
vue/array-bracket-newline,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/array-bracket-spacing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/array-element-newline,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/arrow-spacing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/attribute-hyphenation,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/attributes-order,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/block-lang,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/block-order,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/block-spacing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/block-tag-newline,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/brace-style,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/camelcase,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/comma-dangle,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/comma-spacing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/comma-style,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/comment-directive,base,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/component-api-style,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/component-definition-name-casing,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/component-name-in-template-casing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/component-options-name-casing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/custom-event-name-casing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/define-emits-declaration,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/define-macros-order,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/define-props-declaration,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/dot-location,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/dot-notation,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/enforce-style-attribute,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/eqeqeq,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/experimental-script-setup-vars,-,false,false,none,defer,"outside vue3 baseline scope, keep deferred for now"
vue/first-attribute-linebreak,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/func-call-spacing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/html-button-has-type,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/html-closing-bracket-newline,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/html-closing-bracket-spacing,vue2-strongly-recommended|vue3-strongly-recommended,false,true,direct,enforce,"in vue3 baseline and already mappable, enforce in team lint gate"
vue/html-comment-content-newline,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/html-comment-content-spacing,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
vue/html-comment-indent,-,false,false,direct,defer,"outside vue3 baseline scope, keep deferred for now"
